indicator,purchase_date,sale_date,qty,scheme_name,purchase_amount,index_cost,sale_amount,short_term_gain_loss,long_term_gain_loss,clientname,commonscripcode,client_code,revised_cost_price,31st_jan_price,isin,asset_class,short_term_gain_loss_percent,long_term_gain_loss_percent,purchase_price,sale_price,absolute_gain_loss,portfolio_weight,taxable_gain_loss,folio_no,source,account_no
S,2021-11-16,2021-12-13,256.0,POLYCAB INDIA LTD,648320.0,0,649026.56,706.56,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,13158.0,7404.0,0.0,0.0,INE455K01017,Equity,0.11,0.0,2532.5,2535.26,706.56,1.15,706.56,,E,
S,2021-11-16,2021-12-13,880.0,VAIBHAV GLOBAL LTD,498872.0,0,525360.0,26488.0,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,1547.0,7404.0,0.0,0.0,INE884A01027,Equity,5.31,0.0,566.9,597.0,26488.0,1.42,26488.0,,E,
S,2021-11-16,2021-12-08,703.0,RADICO KHAITAN LTD,783282.6,0,772930.925,-10351.675,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,1604.0,7404.0,0.0,0.0,INE944F01028,Equity,-1.32,0.0,1114.2,1099.48,-10351.675,0.97,-10351.67,,E,
S,2021-11-16,2021-12-07,1650.0,BRIGADE ENTERPRISES LTD,834157.5,0,829083.75,-5073.75,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,1335.0,7404.0,0.0,0.0,INE791I01019,Equity,-0.61,0.0,505.55,502.48,-5073.75,0.9,-5073.75,,E,
S,2021-11-16,2021-12-07,599.0,PHOENIX MILLS LTD,642637.15,0,625805.25,-16831.9,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,6753.0,7404.0,0.0,0.0,INE211B01039,Equity,-2.62,0.0,1072.85,1044.75,-16831.9,1.2,-16831.9,,E,
S,2021-11-16,2021-12-07,6484.0,JAMNA AUTO INDUSTRIES LTD,696381.6,0,709673.8,13292.2,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,237.0,7404.0,0.0,0.0,INE039C01032,Equity,1.91,0.0,107.4,109.45,13292.2,1.05,13292.2,,E,
,2020-01-28,2021-12-06,75.0,CCL MLD 2019 SR 1 A (INE660C07719) 31-DEC-2021 - 23M   10.45% IRR,7555500.0,,9142500.0,0.0,1587000.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST ,,3242.0,,,,Managed Products,0.0,21.0,100740.0,121900.0,1587000.0,0.11,1587000.0,25007,O,
S,2021-11-16,2021-12-03,1881.0,IIFL FINANCE LTD,631263.6,0,615006.6813,-16256.9187,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,5552.0,7404.0,0.0,0.0,INE530B01024,Equity,-2.58,0.0,335.6,326.96,-16256.9187,1.22,-16256.92,,E,
S,2021-03-31,2021-12-03,205.0,DEEPAK NITRITE LTD,339582.5,0,471697.3125,132114.8125,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,624.0,7404.0,0.0,0.0,INE288B01029,Equity,38.91,0.0,1656.5,2300.96,132114.8125,1.59,132114.81,,E,
S,2021-11-16,2021-12-02,2655.0,GTPL HATHWAY LTD,737824.5,0,713265.75,-24558.75,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,11450.0,7404.0,0.0,0.0,INE869I01013,Equity,-3.33,0.0,277.9,268.65,-24558.75,1.05,-24558.75,,E,
S,2021-11-16,2021-11-26,175.0,AAVAS FINANCIERS LTD,490131.25,0,467264.14,-22867.11,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,11291.0,7404.0,0.0,0.0,INE216P01012,Equity,-4.67,0.0,2800.75,2670.08,-22867.11,1.6,-22867.11,,E,
S,2021-11-16,2021-11-26,595.0,NEOGEN CHEMICALS LTD,792302.0,0,888633.1545,96331.1545,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,13169.0,7404.0,0.0,0.0,INE136S01016,Equity,12.16,0.0,1331.6,1493.5,96331.1545,0.84,96331.15,,E,
S,2021-11-16,2021-11-26,762.0,MAYUR UNIQUOTERS LTD,368122.2,0,360557.2164,-7564.9836,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,5363.0,7404.0,0.0,0.0,INE040D01038,Equity,-2.06,0.0,483.1,473.17,-7564.9836,2.08,-7564.98,,E,
S,2021-11-16,2021-11-26,799.0,INTELLECT DESIGN ARENA LTD,556104.0,0,520730.9117,-35373.0883,0.0,ALISHA PATEL AND INDIA PATEL  FAMILY TRUST  EXECUTIONARY,10887.0,7404.0,0.0,0.0,INE306R01017,Equity,-6.36,0.0,696.0,651.73,-35373.0883,1.44,-35373.09,,E,
